"Twitter APIs with sentiment by Apitore sentiment","Call Twitter APIs with sentiment by Apitore sentiment API.<BR />[Endpoint] https://api.apitore.com/a",0.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"Twitter APIs with Word2Vec query expansion","Call Twitter APIs with word2vec query expansion.<BR />[Endpoint] https://api.apitore.com/api/24",0.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"Twitter APIs with Word2Vec query expansion, and add sentiment by Apitore sentiment","Call Twitter APIs with word2vec query expansion and sentiment analysis.<BR />[Endpoint] https://api.",0.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"Url2Href APIs","Url to Href links.<BR />[Endpoint] https://api.apitore.com/api/14",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Url2Html APIs","Url to Html.<BR />[Endpoint] https://api.apitore.com/api/12",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Url2Label by tfidf APIs","Url to label by tfidf of contents.<BR />[Endpoint] https://api.apitore.com/api/20",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Url2Label by word vector APIs","Url to label by word2vec of contents.<BR />[Endpoint] https://api.apitore.com/api/21",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Url2Src APIs","Url to Image src urls.<BR />[Endpoint] https://api.apitore.com/api/15",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Url2Text APIs","Url to Text.<BR />[Endpoint] https://api.apitore.com/api/13",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Word2Vec APIs","Word2Vec.<BR />[Endpoint] https://api.apitore.com/api/8",1.0.2,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"WordNet APIs","You can access ALL WordNet DB.<BR />[Endpoint] https://api.apitore.com/api/46",0.0.1,"28-09-2017 06:09:03","03-10-2017 18:33:47"
"WordNet hypernym APIs","Return hypernym words.<BR />[Endpoint] https://api.apitore.com/api/42",0.0.1,"28-09-2017 06:09:03","03-10-2017 18:33:47"
"WordNet hyponym APIs","Return hyponym words.<BR />[Endpoint] https://api.apitore.com/api/43",0.0.1,"28-09-2017 06:09:03","03-10-2017 18:33:47"
"WordNet Similarity APIs","Calculate word similarity.<BR />[Endpoint] https://api.apitore.com/api/47",0.0.1,"28-09-2017 06:09:03","03-10-2017 18:33:47"
"WordNet synonym APIs","Return synonym words.<BR />[Endpoint] https://api.apitore.com/api/41",0.0.1,"28-09-2017 06:09:03","03-10-2017 18:33:47"
"WordNet translation APIs","Return translation words.<BR />[Endpoint] https://api.apitore.com/api/45",0.0.1,"28-09-2017 06:09:03","03-10-2017 18:33:47"
"Words to Vectors APIs","Word to vectors.<BR />[Endpoint] https://api.apitore.com/api/10",1.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
AppVeyor,"AppVeyor is a hosted continuous integration service which runs on Microsoft
Windows.  The AppVeyor R",0.20170106.0,"16-01-2017 14:46:30","30-11-2017 17:31:05"
"Search Services","API for Internet Archive's Search-related services
",1.0.0,"24-02-2018 16:36:17","24-02-2018 16:36:17"
Wayback,"API for Internet Archive's Wayback Machine",1.0.0,"24-02-2018 16:36:17","24-02-2018 16:36:17"
"ART19 Content","The ART19 Content API conforms to the JSON-API specification. Details and examples can be found at h",1.0.0,"26-11-2017 17:28:52","26-11-2017 17:28:52"
"Business Registries","# Introduction
The Business Registries API is built on HTTP. The API is RESTful. It has predictable ",0.0.6,"06-09-2017 11:44:38","06-09-2017 11:44:38"
"Auckland Museum","This is technical documentation for the Auckland Museum API
",2.0.0,"04-09-2017 12:49:06","04-09-2017 12:49:06"
"Authentiq Connect","Authentiq Connect OAuth 2.0 and OpenID Connect API reference.
Learn about [Authentiq ID](https://www",1.0,"15-03-2017 14:45:58","03-10-2017 18:37:39"
Avaza,"Welcome to the autogenerated documentation & test tool for Avaza's API. <br/><br/><strong>API Securi",v1,"21-11-2017 11:17:54","19-02-2018 08:08:39"
"AviationData.Systems Airports API V1",,v1,"26-11-2017 17:48:04","26-11-2017 17:48:04"
AdvisorManagementClient,"REST APIs for Azure Advisor",2017-04-19,"24-04-2017 10:15:00","19-02-2018 08:59:16"
AzureAnalysisServices,"The Azure Analysis Services Web API provides a RESTful set of web services that enables users to cre",2017-07-14,"02-10-2016 08:32:49","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on entities like API, Product, and Subscription associ",2017-03-01,"22-11-2016 15:57:03","19-02-2018 08:59:16"
ApiManagementClient,"Use these REST APIs for performing operations on API entity and their Operations associated with you",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
ApiManagementClient,"Use these REST APIs for managing OAuth2 servers configuration in your Azure API Management deploymen",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on Backend entity in Azure API Management deployment. ",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on Certificate entity in your Azure API Management dep",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs to manage Azure API Management deployment.",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on Email Templates associated with your Azure API Mana",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on Group entity in your Azure API Management deploymen",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
ApiManagementClient,"Use these REST APIs for performing operations on Identity Provider entity associated with your Azure",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on logger entity Azure API Management deployment.The L",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for getting the network connectivity status of your Azure API Management deploym",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on OpenId Connect Provider entity associated with your",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on Product entity associated with your Azure API Manag",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
ApiManagementClient,"Use these REST APIs for performing operations on Property entity associated with your Azure API Mana",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on Quota entity associated with your Azure API Managem",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs to get the analytics reports associated with your Azure API Management deploymen",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on Subscription entity associated with your Azure API ",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on tenant entity associated with your Azure API Manage",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApiManagementClient,"Use these REST APIs for performing operations on User entity in Azure API Management deployment. The",2017-03-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
ApplicationInsightsManagementClient,"Azure Application Insights client for web test based alerting.",2015-05-01,"24-04-2017 10:15:00","19-02-2018 08:41:37"
ApplicationInsightsManagementClient,"Azure Application Insights client for API keys of a component.",2015-05-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApplicationInsightsManagementClient,"Azure Application Insights client for Continuous Export of a component.",2015-05-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApplicationInsightsManagementClient,"Azure Application Insights client for selecting pricing plans and options.",2015-05-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApplicationInsightsManagementClient,"Azure Application Insights client for Components.",2015-05-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApplicationInsightsManagementClient,"Azure Application Insights client for web test based alerting.",2015-05-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
AuthorizationManagementClient,"Role based access control provides you a way to apply granular level policy administration down to i",2015-07-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
AuthorizationManagementClient,"Role based access control provides you a way to apply granular level policy administration down to i",2017-10-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:41:37"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:41:37"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:41:37"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:41:37"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
"Update Management","APIs for managing software update configurations.",2017-05-15-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Update Management","APIs for managing software update configurations.",2017-05-15-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
AutomationManagement,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
AutomationManagementClient,,2015-10-31,"04-12-2017 09:12:06","19-02-2018 08:59:16"
BatchManagement,,2017-09-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
BatchAI,"The Azure BatchAI Management API.",2017-09-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
BillingManagementClient,"Billing client provides access to billing resources for Azure Web-Direct subscriptions. Other subscr",2017-04-24-preview,"24-04-2017 10:15:00","19-02-2018 08:41:37"
CdnManagementClient,"Use these APIs to manage Azure CDN resources through the Azure Resource Manager. You must make sure ",2017-04-02,"10-04-2016 23:18:20","19-02-2018 08:41:37"
CognitiveServicesManagementClient,"Cognitive Services Management Client",2017-04-18,"12-05-2016 20:45:18","19-02-2018 08:41:37"
UsageManagementClient,,2015-06-01-preview,"22-05-2016 12:37:44","19-02-2018 08:59:16"
ComputeManagementClient,"The Compute Management Client.",2017-12-01,"10-04-2016 23:18:20","19-02-2018 08:59:16"
ContainerServiceClient,"The Container Service Client.",2017-01-31,"10-04-2016 23:18:20","19-02-2018 08:41:37"
DiskResourceProviderClient,"The Disk Resource Provider Client.",2017-03-30,"01-02-2017 10:11:06","19-02-2018 08:41:37"
RunCommandsClient,"The Run Commands Client.",2017-03-30,"20-09-2017 08:49:01","19-02-2018 08:41:37"
ComputeManagementClient,"The Compute Management Client.",2017-09-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ComputeManagementConvenienceClient,,2015-11-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ConsumptionManagementClient,"Consumption management client provides access to consumption resources for Azure Enterprise Subscrip",2017-12-30-preview,"24-04-2017 10:15:00","19-02-2018 08:41:37"
ContainerInstanceManagementClient,,2017-10-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ContainerRegistryManagementClient,,2017-10-01,"22-11-2016 15:57:03","19-02-2018 08:41:37"
ContainerServiceClient,"The Container Service Client.",2017-07-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
ContainerServiceClient,"The Container Service Client.",2017-09-30,"02-01-2018 11:52:51","19-02-2018 08:41:37"
ContainerServiceClient,"The Container Service Client.",2017-08-31,"02-01-2018 11:52:51","19-02-2018 08:41:37"
"Cosmos DB","Azure Cosmos DB Database Service Resource Provider REST API",2015-04-08,"20-09-2017 08:49:01","19-02-2018 08:41:37"
CustomerInsightsManagementClient,"The Azure Customer Insights management API provides a RESTful set of web services that interact with",2017-04-26,"20-09-2017 08:49:01","19-02-2018 08:41:37"
"Azure Data Catalog Resource Provider","The Azure Data Catalog Resource Provider Services API.",2016-03-30,"02-01-2018 11:52:51","19-02-2018 08:41:37"
DataFactoryManagementClient,,2017-09-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
DataLakeAnalyticsAccountManagementClient,"Creates an Azure Data Lake Analytics account management client.",2016-11-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
DataLakeStoreAccountManagementClient,"Creates an Azure Data Lake Store account management client.",2016-11-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
"Azure Data Migration Service Resource Provider","The Data Migration Service helps people migrate their data from on-premise database servers to Azure",2017-11-15-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
DevTestLabsClient,"The DevTest Labs Client.",2016-05-15,"27-04-2016 13:30:31","19-02-2018 08:41:37"
DnsManagementClient,"The DNS Management Client.",2017-09-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
"Domain Services Resource Provider","The AAD Domain Services API.",2017-06-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
EventGridManagementClient,"Azure EventGrid Management Client",2017-09-15-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
EventHubManagementClient,"Azure Event Hubs client",2017-04-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
HDInsightManagementClient,"The HDInsight Management Client.",2015-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
HDInsightManagementClient,"The HDInsight Management Client.",2015-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
HDInsightManagementClient,"The HDInsight Management Client.",2015-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
HDInsightManagementClient,"The HDInsight Management Client.",2015-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
HDInsightManagementClient,"The HDInsight Management Client.",2015-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
HDInsightManagementClient,"The HDInsight Management Client.",2015-03-01-preview,"24-04-2017 10:15:00","19-02-2018 08:41:37"
HDInsightManagementClient,"The HDInsight Management Client.",2015-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
IntuneResourceManagementClient,"Microsoft.Intune Resource provider Api features in the swagger-2.0 specification",2015-01-14-privatepreview,"10-04-2016 23:18:20","19-02-2018 08:41:37"
iotHubClient,"Use this API to manage the IoT hubs in your Azure subscription.",2017-07-01,"14-07-2016 10:37:31","19-02-2018 08:41:37"
KeyVaultManagementClient,"The Azure management API provides a RESTful set of web services that interact with Azure Key Vault.",2016-10-01,"14-07-2016 10:37:31","19-02-2018 08:59:16"
"Azure Location Based Services Resource Provider","Resource Provider",2017-01-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
LogicManagementClient,"REST API for Azure Logic Apps.",2016-06-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
"Azure ML Commitment Plans Management Client","These APIs allow end users to operate on Azure Machine Learning Commitment Plans resources and their",2016-05-01-preview,"26-08-2016 08:56:19","19-02-2018 08:59:16"
"Azure ML Web Services Management Client","These APIs allow end users to operate on Azure Machine Learning Web Services resources. They support",2017-01-01,"04-05-2016 10:02:46","19-02-2018 08:59:16"
"Machine Learning Workspaces Management Client","These APIs allow end users to operate on Azure Machine Learning Workspace resources. They support CR",2016-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Machine Learning Compute Management Client","These APIs allow end users to operate on Azure Machine Learning Compute resources. They support the ",2017-08-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"ML Team Account Management Client","These APIs allow end users to operate on Azure Machine Learning Team Account resources. They support",2017-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MarketplaceOrdering.Agreements,"REST API for MarketplaceOrdering Agreements.",2015-06-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MediaServicesManagementClient,"Media Services resource management APIs.",2015-10-01,"14-07-2016 10:37:31","19-02-2018 08:41:37"
Engagement.ManagementClient,"Microsoft Azure Mobile Engagement REST APIs.",2014-12-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
"Azure Action Groups",,2017-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure Activity Log Alerts",,2017-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2015-04-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
MonitorManagementClient,,2016-03-01,"25-11-2017 10:52:13","19-02-2018 08:41:37"
MonitorManagementClient,,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2015-04-01,"02-10-2016 08:32:49","19-02-2018 08:41:37"
MonitorManagementClient,,2017-11-01-preview,"02-01-2018 11:52:51","19-02-2018 08:41:37"
MonitorManagementClient,,2017-11-01-preview,"02-01-2018 11:52:51","19-02-2018 08:41:37"
MonitorManagementClient,,2017-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2017-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2015-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2016-03-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2017-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2017-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2015-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
MonitorManagementClient,,2016-09-01,"02-10-2016 08:32:49","19-02-2018 08:41:37"
MonitorManagementClient,,2015-04-01,"02-10-2016 08:32:49","19-02-2018 08:59:16"
ManagedServiceIdentityClient,"The Managed Service Identity Client.",2015-08-31-preview,"02-01-2018 11:52:51","19-02-2018 08:41:37"
MySQLManagementClient,"The Microsoft Azure management API provides create, read, update, and delete functionality for Azure",2017-04-30-preview,"20-09-2017 08:49:01","19-02-2018 08:59:16"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2017-10-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2017-10-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2017-10-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2016-09-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2017-10-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2017-10-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2017-10-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2017-10-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
NetworkManagementClient,"The Microsoft Azure Network management API provides a RESTful set of web services that interact with",2017-10-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
NotificationHubsManagementClient,"Azure NotificationHub client",2017-04-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
"Azure Log Analytics - Operations Management","Azure Log Analytics API reference for Solution.",2015-11-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
PostgreSQLManagementClient,"The Microsoft Azure management API provides create, read, update, and delete functionality for Azure",2017-04-30-preview,"20-09-2017 08:49:01","19-02-2018 08:59:16"
PowerBIDedicated,"PowerBI Dedicated Web API provides a RESTful set of web services that enables users to create, retri",2017-10-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Power BI Embedded Management Client","Client to manage your Power BI Embedded workspace collections and retrieve workspaces.",2016-01-29,"22-05-2016 12:37:44","19-02-2018 08:41:37"
iotDpsClient,"API for using the Azure IoT Hub Device Provisioning Service features.",2017-11-15,"04-12-2017 09:12:06","19-02-2018 08:41:37"
RecoveryServicesBackupClient,,2016-12-01,"24-04-2017 10:15:00","19-02-2018 08:41:37"
RecoveryServicesClient,,2016-06-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
RecoveryServicesClient,,2016-06-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
RecoveryServicesClient,,2016-06-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
RecoveryServicesClient,,2016-06-01,"02-10-2016 08:32:49","19-02-2018 08:41:37"
RecoveryServicesBackupClient,,2016-06-01,"02-10-2016 08:32:49","19-02-2018 08:59:16"
RecoveryServicesBackupClient,,2016-12-01,"02-10-2016 08:32:49","19-02-2018 08:41:37"
RecoveryServicesBackupClient,,2017-07-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
RecoveryServicesBackupClient,,2016-08-10,"04-12-2017 09:12:06","19-02-2018 08:41:37"
RecoveryServicesBackupClient,,2016-06-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SiteRecoveryManagementClient,,2016-08-10,"20-09-2017 08:49:01","19-02-2018 08:41:37"
RedisManagementClient,"REST API for Azure Redis Cache Service.",2017-10-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
Relay,"Use these API to manage Azure Relay resources through Azure Resource Manager.",2017-04-01,"24-04-2017 10:15:00","19-02-2018 08:41:37"
"Azure Reservation","This API describe Azure Reservation",2017-11-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
Microsoft.ResourceHealth,"The Resource Health Client.",2017-07-01,"24-04-2017 10:15:00","19-02-2018 08:41:37"
ResourceManagementClient,"Provides operations for working with resources and resource groups.",2017-05-10,"04-12-2017 09:12:06","19-02-2018 08:59:16"
FeatureClient,"Azure Feature Exposure Control (AFEC) provides a mechanism for the resource providers to control fea",2015-12-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ManagementLinkClient,"Azure resources can be linked together to form logical relationships. You can establish links betwee",2016-09-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ManagementLockClient,"Azure resources can be locked to prevent other users in your organization from deleting or modifying",2016-09-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
ApplicationClient,"ARM applications",2017-09-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Management Groups","The Azure Management Groups API enables consolidation of multiple 
subscriptions/resources into an o",2017-08-31-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
PolicyClient,"To manage and control access to your resources, you can define customized policies and assign them a",2016-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
PolicyClient,"To manage and control access to your resources, you can define customized policies and assign them a",2017-06-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
PolicyClient,"To manage and control access to your resources, you can define customized policies and assign them a",2016-12-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
PolicyClient,"To manage and control access to your resources, you can define customized policies and assign them a",2017-06-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SubscriptionClient,"All resource groups and resources exist within subscriptions. These operation enable you get informa",2016-06-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SchedulerManagementClient,,2016-03-01,"10-04-2016 23:18:20","19-02-2018 08:41:37"
SearchManagementClient,"Client that can be used to manage Azure Search services and API keys.",2015-08-19,"10-04-2016 23:18:20","19-02-2018 08:41:37"
ServerManagement,"REST API for Azure Server Management Service.",2016-07-01-preview,"20-10-2016 16:26:05","19-02-2018 08:41:37"
"Service Map","Service Map API Reference",2015-11-01-preview,"24-04-2017 10:15:00","19-02-2018 08:59:16"
ServiceBusManagementClient,"Azure Service Bus client",2017-04-01,"29-06-2016 10:28:32","19-02-2018 08:41:37"
ServiceFabricManagementClient,"Azure Service Fabric Resource Provider API Client",2017-07-01-preview,"24-04-2017 10:15:00","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2017-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"22-11-2016 15:57:03","19-02-2018 08:41:37"
"Azure SQL Database Backup Long Term Retention Policy","Provides read and update functionality for Azure SQL Database backup long term retention policy",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Server Backup Long Term Retention Vault","Provides read and update functionality for Azure SQL Server backup long term retention vault",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database Backup","Provides read functionality for Azure SQL Database Backups",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:59:16"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2017-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Server API spec","The Azure SQL Server management API provides a RESTful set of web services that interact with Azure ",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database Datamasking Policies and Rules","Provides create, read, update and delete functionality for Azure SQL Database datamasking policies a",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Database Threat Detection Policy APIs","Provides create, read and update functionality for database Threat Detection policies.",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database","Provides create, read, update and delete functionality for Azure SQL Database resources including se",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database","Provides read and update functionality for Azure SQL Database geo backup policies.",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database Import/Export spec","Provides create and read functionality for Import/Export operations on Azure SQL databases.",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2017-03-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Azure SQL Database","Provides create, read, update and delete functionality for Azure SQL Database resources including se",2014-04-01,"04-12-2017 09:12:06","19-02-2018 08:41:37"
SqlManagementClient,"The Azure SQL Database management API provides a RESTful set of web APIs that interact with Azure SQ",2015-05-01-preview,"04-12-2017 09:12:06","19-02-2018 08:41:37"
